"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
1049.0,798.9697348109288
1050.0,798.9697426947345
1051.0,798.9697522927833
1052.0,798.969759983525
1053.0,798.9697693399391
1054.0,798.9697768432976
1055.0,798.9697859733099
1056.0,798.9697933034082
1057.0,798.9698022078437
1058.0,798.9698093604734
1059.0,798.9698180536474
1060.0,798.9698250360442
1061.0,798.9698335216855
1062.0,798.9698403330407
1063.0,798.9698486117167
1064.0,798.9698552519121
1065.0,798.9698633326078
1066.0,798.9698698198007
1067.0,798.9698777112259
1068.0,798.9698840499473
1069.0,798.9698917356658
1070.0,798.9698979180529
1071.0,798.9699054274164
1072.0,798.9699114641396
1073.0,798.9699187986613
1074.0,798.9699246857833
1075.0,798.9699318381065
1076.0,798.9699375811584
1077.0,798.9699445598566
1078.0,798.9699501602041
1079.0,798.9699569650646
1080.0,798.9699624270187
1081.0,798.9699690739758
1082.0,798.9699744057211
1083.0,798.9699808895937
1084.0,798.9699860996562
1085.0,798.969992418043
1086.0,798.9699974997523
1087.0,798.9700036747415
1088.0,798.9700086314466
1089.0,798.9700146570877
1090.0,798.9700194852837
1091.0,798.970025368179
1092.0,798.9700300819294
1093.0,798.9700358147575
1094.0,798.9700404191084
1095.0,798.9700460079341
1096.0,798.9700504908727
1097.0,798.9700559574931
1098.0,798.9700603410125
1099.0,798.9700656636231
1100.0,798.9700699399248
1101.0,798.9700751343411
1102.0,798.9700793069377
1103.0,798.9700843864237
1104.0,798.9700884667053
1105.0,798.970093411441
1106.0,798.970097386111
1107.0,798.9701022131655
1108.0,798.9701060904276
1109.0,798.970110802623
1110.0,798.9701145835501
1111.0,798.9701191849739
1112.0,798.9701228704442
1113.0,798.970127357133
1114.0,798.970130953779
1115.0,798.9701353212768
1116.0,798.9701388331089
1117.0,798.9701430996262
1118.0,798.9701465292629
1119.0,798.970150699242
1120.0,798.9701540429029
1121.0,798.9701581062814
1122.0,798.9701613685673
1123.0,798.9701653340952
1124.0,798.9701685176465
1125.0,798.9701724024588
1126.0,798.9701755259266
1127.0,798.970179312477
1128.0,798.9701823510177
1129.0,798.9701860325143
1130.0,798.9701889916591
1131.0,798.9701925816381
1132.0,798.9701954671193
1133.0,798.9701989773023
1134.0,798.9702017966847
1135.0,798.9702052197059
1136.0,798.9702079708809
1137.0,798.9702113123478
1138.0,798.9702139900043
1139.0,798.9702172443797
1140.0,798.9702198535737
1141.0,798.9702230338429
1142.0,798.9702255874051
1143.0,798.9702286887364
1144.0,798.9702311729851
1145.0,798.9702342002332
1146.0,798.9702366310223
1147.0,798.9702395922752
1148.0,798.9702419758383
1149.0,798.9702448549626
1150.0,798.970247174083
1151.0,798.9702499946658
